"V1","valor","variavel","data","polarity","tipo_dado","freq","escala","category","subcategory","descricao_variable","remove","valor_polarizado","norm"
1,0.208609987190476,"TxCompostaSubutilizacao",2012-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.208609987190476,0.4807404172366
2,0.178847570412899,"TxCompostaSubutilizacao",2013-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.178847570412899,0.319160391344242
3,0.155763763753349,"TxCompostaSubutilizacao",2014-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.155763763753349,0.193838509535424
4,0.120059458864941,"TxCompostaSubutilizacao",2015-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.120059458864941,0
5,0.194276504866416,"TxCompostaSubutilizacao",2016-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.194276504866416,0.402924006615197
6,0.241089371683032,"TxCompostaSubutilizacao",2017-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.241089371683032,0.657070848548513
7,0.247077761604348,"TxCompostaSubutilizacao",2018-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.247077761604348,0.689581790310097
8,0.250120473453881,"TxCompostaSubutilizacao",2019-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.250120473453881,0.706100659160859
9,0.244292966880274,"TxCompostaSubutilizacao",2020-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.244292966880274,0.674463152365352
10,0.296140677396353,"TxCompostaSubutilizacao",2021-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.296140677396353,0.955944137940394
11,0.23198017819934,"TxCompostaSubutilizacao",2022-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.23198017819934,0.607617078380818
12,0.188616352722308,"TxCompostaSubutilizacao",2023-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.188616352722308,0.372195066259497
13,0.178876106335221,"TxCompostaSubutilizacao",2024-01-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.178876106335221,0.31931531273729
14,0.189056803844144,"TxCompostaSubutilizacao",2012-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.189056803844144,0.374586273405154
15,0.168329527288523,"TxCompostaSubutilizacao",2013-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.168329527288523,0.262057982857911
16,0.149167586987171,"TxCompostaSubutilizacao",2014-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.149167586987171,0.158027895745734
17,0.122784289458198,"TxCompostaSubutilizacao",2015-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.122784289458198,0.0147930929501149
18,0.209222539242288,"TxCompostaSubutilizacao",2016-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.209222539242288,0.484065959551658
19,0.237822625453612,"TxCompostaSubutilizacao",2017-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.237822625453612,0.639335698063989
20,0.246128455634794,"TxCompostaSubutilizacao",2018-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.246128455634794,0.684428012500767
21,0.24834224951991,"TxCompostaSubutilizacao",2019-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.24834224951991,0.696446689476854
22,0.293281248276833,"TxCompostaSubutilizacao",2020-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.293281248276833,0.94042031020079
23,0.285124167515505,"TxCompostaSubutilizacao",2021-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.285124167515505,0.896135555690718
24,0.212442352958145,"TxCompostaSubutilizacao",2022-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.212442352958145,0.501546313632604
25,0.178319230417635,"TxCompostaSubutilizacao",2023-04-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.178319230417635,0.31629203590279
26,0.170334827227709,"TxCompostaSubutilizacao",2012-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.170334827227709,0.272944747145808
27,0.159845354318292,"TxCompostaSubutilizacao",2013-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.159845354318292,0.215997446227096
28,0.148365190174918,"TxCompostaSubutilizacao",2014-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.148365190174918,0.153671687086044
29,0.129167448924819,"TxCompostaSubutilizacao",2015-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.129167448924819,0.0494472367852594
30,0.212955383264289,"TxCompostaSubutilizacao",2016-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.212955383264289,0.504331552841161
31,0.2393695879906,"TxCompostaSubutilizacao",2017-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.2393695879906,0.647734150671149
32,0.241798599607651,"TxCompostaSubutilizacao",2018-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.241798599607651,0.660921243739197
33,0.240964864677494,"TxCompostaSubutilizacao",2019-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.240964864677494,0.656394900579336
34,0.304255597052245,"TxCompostaSubutilizacao",2020-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.304255597052245,1
35,0.2651448058953,"TxCompostaSubutilizacao",2021-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.2651448058953,0.787667691940564
36,0.201077887458424,"TxCompostaSubutilizacao",2022-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.201077887458424,0.439848681903947
37,0.175734893803942,"TxCompostaSubutilizacao",2023-07-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.175734893803942,0.302261684131435
38,0.166752969980607,"TxCompostaSubutilizacao",2012-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.166752969980607,0.253498860373417
39,0.149400976376033,"TxCompostaSubutilizacao",2013-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.149400976376033,0.159294965680852
40,0.149388560547354,"TxCompostaSubutilizacao",2014-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.149388560547354,0.159227560203184
41,0.13562963456842,"TxCompostaSubutilizacao",2015-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.13562963456842,0.0845304133773213
42,0.222894928527231,"TxCompostaSubutilizacao",2016-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.222894928527231,0.558293299057766
43,0.235722743190172,"TxCompostaSubutilizacao",2017-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.235722743190172,0.627935446766078
44,0.238516887127921,"TxCompostaSubutilizacao",2018-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.238516887127921,0.643104841549522
45,0.230261024065838,"TxCompostaSubutilizacao",2019-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.230261024065838,0.598283798376034
46,0.288220938835214,"TxCompostaSubutilizacao",2020-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.288220938835214,0.912947913160233
47,0.242830533464376,"TxCompostaSubutilizacao",2021-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.242830533464376,0.666523607973759
48,0.184866072283987,"TxCompostaSubutilizacao",2022-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.184866072283987,0.351834810744761
49,0.172625650275698,"TxCompostaSubutilizacao",2023-10-01,"neg","prop","trim","percent","ocupacao_suficiente","ocupacao_suficiente","Taxa composta de subutilização",0,-0.172625650275698,0.28538161509827
50,0.570277624954367,"PrevidenciaTodosTrab",2012-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.570277624954367,0.40619534235294
51,0.579200370642056,"PrevidenciaTodosTrab",2013-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.579200370642056,0.548401646772312
52,0.599050641167333,"PrevidenciaTodosTrab",2014-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.599050641167333,0.86476543342816
53,0.599906630270877,"PrevidenciaTodosTrab",2015-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.599906630270877,0.878407764084988
54,0.586600363969631,"PrevidenciaTodosTrab",2016-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.586600363969631,0.66633907776896
55,0.561819124847739,"PrevidenciaTodosTrab",2017-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.561819124847739,0.271387954224189
56,0.555269537527213,"PrevidenciaTodosTrab",2018-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.555269537527213,0.167003873255811
57,0.556200037140143,"PrevidenciaTodosTrab",2019-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.556200037140143,0.181833715531939
58,0.557319791595665,"PrevidenciaTodosTrab",2020-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.557319791595665,0.199679807816808
59,0.550551302804714,"PrevidenciaTodosTrab",2021-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.550551302804714,0.0918069835590112
60,0.561738983741962,"PrevidenciaTodosTrab",2022-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.561738983741962,0.270110704946497
61,0.589375146108966,"PrevidenciaTodosTrab",2023-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.589375146108966,0.710562182115433
62,0.599981247545796,"PrevidenciaTodosTrab",2024-01-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.599981247545796,0.879596977280509
63,0.572196706060992,"PrevidenciaTodosTrab",2012-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.572196706060992,0.436780707172956
64,0.583648173617295,"PrevidenciaTodosTrab",2013-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.583648173617295,0.619288529132629
65,0.604320242634585,"PrevidenciaTodosTrab",2014-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.604320242634585,0.948749733401511
66,0.597793966167596,"PrevidenciaTodosTrab",2015-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.597793966167596,0.844737169278999
67,0.581287039226561,"PrevidenciaTodosTrab",2016-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.581287039226561,0.581657937866642
68,0.560219328254563,"PrevidenciaTodosTrab",2017-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.560219328254563,0.245891187948294
69,0.558631180203051,"PrevidenciaTodosTrab",2018-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.558631180203051,0.220580070363945
70,0.553730963413976,"PrevidenciaTodosTrab",2019-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.553730963413976,0.142482840562856
71,0.574513157658058,"PrevidenciaTodosTrab",2020-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.574513157658058,0.4736991661894
72,0.544790866444346,"PrevidenciaTodosTrab",2021-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.544790866444346,0
73,0.573896521404937,"PrevidenciaTodosTrab",2022-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.573896521404937,0.463871522793899
74,0.593511933477257,"PrevidenciaTodosTrab",2023-04-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.593511933477257,0.77649225167071
75,0.579162154176375,"PrevidenciaTodosTrab",2012-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.579162154176375,0.547792571657691
76,0.589624057235948,"PrevidenciaTodosTrab",2013-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.589624057235948,0.714529204457648
77,0.60538120918638,"PrevidenciaTodosTrab",2014-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.60538120918638,0.965658893174104
78,0.591234800533335,"PrevidenciaTodosTrab",2015-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.591234800533335,0.74020043388714
79,0.580323226619757,"PrevidenciaTodosTrab",2016-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.580323226619757,0.566297169582558
80,0.560461988792764,"PrevidenciaTodosTrab",2017-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.560461988792764,0.249758591500274
81,0.557212950620592,"PrevidenciaTodosTrab",2018-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.557212950620592,0.197977029237489
82,0.551697523296356,"PrevidenciaTodosTrab",2019-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.551697523296356,0.110074878428083
83,0.555686880374731,"PrevidenciaTodosTrab",2020-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.555686880374731,0.173655276993932
84,0.549559002810086,"PrevidenciaTodosTrab",2021-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.549559002810086,0.0759921973877422
85,0.580627605006551,"PrevidenciaTodosTrab",2022-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.580627605006551,0.5711482016579
86,0.594975626396276,"PrevidenciaTodosTrab",2023-07-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.594975626396276,0.799819864952986
87,0.5819122739329,"PrevidenciaTodosTrab",2012-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.5819122739329,0.59162261915369
88,0.595995481288542,"PrevidenciaTodosTrab",2013-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.595995481288542,0.816073807444395
89,0.607535944618767,"PrevidenciaTodosTrab",2014-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.607535944618767,1
90,0.600135089297898,"PrevidenciaTodosTrab",2015-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.600135089297898,0.882048830980881
91,0.576128103415957,"PrevidenciaTodosTrab",2016-10-01,"pos","prop","trim","percent","acesso_a_direitos","acesso_a_direitos","Acesso à previdência",0,0.576128103415957,0.499437372354507
