Preload;variavel;W1;W2;W3;W4;
Equitativo;TxCompostaSubutilizacao;1;1;1;1;
Equitativo;PrevidenciaTodosTrab;1;1;1;1;
Equitativo;CarteiraTrabAssalariados;1;1;1;1;
Equitativo;AcessoSeguroDesempregoAssal;1;1;1;1;
Equitativo;PropoRendaApposentadoriaAcima65anos;1;1;1;1;
Equitativo;TxOcupadosRendaAbaixoPOF;1;1;1;1;
Equitativo;RendimentoRealMedio;1;1;1;1;
Equitativo;MassaRendaHabTodosTrab_noPIB;1;1;1;1;
Equitativo;TxSubocupadasJornadaAcima44h;1;1;1;1;
Equitativo;Gini_rendahabTodosTrabalhos;1;1;1;1;
Equitativo;RendimentoRealMedio_SexoCor;1;1;1;1;
Equitativo;PostosDirecao_MulheresNegras;1;1;1;1;
Equitativo;GrevesPropositivas;1;1;1;1;
Equitativo;ConfiancaSindicatos;1;1;1;1;
Equitativo;AcidentesTrabalho_ponderadoSegurada;1;1;1;1;
Equitativo;AfastamentoRemunerado;1;1;1;1;
Equitativo;ReajustesAcimaINPC_MM;1;1;1;1;
Equitativo;Admitidos_ContratosAtipicos_MM;1;1;1;1;
Equitativo;SalarioMinimoReal_MM;1;1;1;1;
Dimensoes;TxCompostaSubutilizacao;0.3333333;0.3333333;0.3333333;0.3333333;
Dimensoes;PrevidenciaTodosTrab;0.0833333;0.0833333;0.0833333;0.0833333;
Dimensoes;CarteiraTrabAssalariados;0.0833333;0.0833333;0.0833333;0.0833333;
Dimensoes;AcessoSeguroDesempregoAssal;0.0833333;0.0833333;0.0833333;0.0833333;
Dimensoes;PropoRendaApposentadoriaAcima65anos;0.0833333;0.0833333;0.0833333;0.0833333;
Dimensoes;TxOcupadosRendaAbaixoPOF;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;RendimentoRealMedio;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;MassaRendaHabTodosTrab_noPIB;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;TxSubocupadasJornadaAcima44h;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;Gini_rendahabTodosTrabalhos;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;RendimentoRealMedio_SexoCor;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;PostosDirecao_MulheresNegras;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;GrevesPropositivas;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;ConfiancaSindicatos;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;AcidentesTrabalho_ponderadoSegurada;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;AfastamentoRemunerado;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;ReajustesAcimaINPC_MM;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;Admitidos_ContratosAtipicos_MM;0.0238095;0.0238095;0.0238095;0.0238095;
Dimensoes;SalarioMinimoReal_MM;0.0238095;0.0238095;0.0238095;0.0238095;
PCA - sem reducao;TxCompostaSubutilizacao;0.336354577339358;0.336354577339358;0.336354577339358;0.336354577339358;
PCA - sem reducao;PrevidenciaTodosTrab;0.384083993469433;0.384083993469433;0.384083993469433;0.384083993469433;
PCA - sem reducao;CarteiraTrabAssalariados;0.403326188269915;0.403326188269915;0.403326188269915;0.403326188269915;
PCA - sem reducao;AcessoSeguroDesempregoAssal;0.0228904343771068;0.0228904343771068;0.0228904343771068;0.0228904343771068;
PCA - sem reducao;PropoRendaApposentadoriaAcima65anos;0.242275231968859;0.242275231968859;0.242275231968859;0.242275231968859;
PCA - sem reducao;TxOcupadosRendaAbaixoPOF;0.00554663538134613;0.00554663538134613;0.00554663538134613;0.00554663538134613;
PCA - sem reducao;RendimentoRealMedio;0.083125697928553;0.083125697928553;0.083125697928553;0.083125697928553;
PCA - sem reducao;MassaRendaHabTodosTrab_noPIB;0.0831198614041707;0.0831198614041707;0.0831198614041707;0.0831198614041707;
PCA - sem reducao;TxSubocupadasJornadaAcima44h;0.0338867107348758;0.0338867107348758;0.0338867107348758;0.0338867107348758;
PCA - sem reducao;Gini_rendahabTodosTrabalhos;0.412764082977247;0.412764082977247;0.412764082977247;0.412764082977247;
PCA - sem reducao;RendimentoRealMedio_SexoCor;0.163248867705699;0.163248867705699;0.163248867705699;0.163248867705699;
PCA - sem reducao;PostosDirecao_MulheresNegras;0.0943396446704543;0.0943396446704543;0.0943396446704543;0.0943396446704543;
PCA - sem reducao;GrevesPropositivas;0.0419469662546395;0.0419469662546395;0.0419469662546395;0.0419469662546395;
PCA - sem reducao;ConfiancaSindicatos;0.227612680050049;0.227612680050049;0.227612680050049;0.227612680050049;
PCA - sem reducao;AcidentesTrabalho_ponderadoSegurada;0.232335062965835;0.232335062965835;0.232335062965835;0.232335062965835;
PCA - sem reducao;AfastamentoRemunerado;0.31997939462705;0.31997939462705;0.31997939462705;0.31997939462705;
PCA - sem reducao;ReajustesAcimaINPC_MM;0.0103977533604825;0.0103977533604825;0.0103977533604825;0.0103977533604825;
PCA - sem reducao;Admitidos_ContratosAtipicos_MM;0.251775567361621;0.251775567361621;0.251775567361621;0.251775567361621;
PCA - sem reducao;SalarioMinimoReal_MM;0.151977199083792;0.151977199083792;0.151977199083792;0.151977199083792;
PCA - com reducao;TxCompostaSubutilizacao;0;0;0;0;
PCA - com reducao;PrevidenciaTodosTrab;0.139283280090317;0.139283280090317;0.139283280090317;0.139283280090317;
PCA - com reducao;CarteiraTrabAssalariados;0.119519713933284;0.119519713933284;0.119519713933284;0.119519713933284;
